Time (UTCG),azimuth_1,elevation_1,range_1,azimuth_2,elevation_2,range_2,azimuth_3,elevation_3,range_3
30 Mar 2024 03:54:00.000,66.951,14.865,1552.161577,73.785,9.705,1860.787811,137.474,7.995,1977.058449
03 Mar 2024 16:58:00.000,78.987,23.019,1207.701693,1.706,40.110,827.158374,60.620,9.389,1884.506855
17 Mar 2024 12:53:00.000,238.081,49.693,716.523320,207.813,20.846,1278.410286,306.207,7.838,1999.983724
08 Mar 2024 16:37:00.000,285.562,7.879,1999.986527,312.618,12.952,1655.997184,41.030,20.233,1305.756278
06 Mar 2024 13:23:00.000,263.580,22.151,1237.936531,97.633,26.242,1106.519875,118.438,25.790,1116.494704
18 Mar 2024 12:54:00.000,143.517,11.906,1714.911027,313.156,12.768,1666.913895,316.181,12.386,1688.648490
18 Mar 2024 11:08:00.000,303.122,35.327,905.531771,41.830,17.391,1428.831820,39.643,15.782,1503.679420
10 Mar 2024 14:56:00.000,99.819,42.348,796.883524,164.399,7.688,1999.990334,316.608,17.252,1432.746655
21 Mar 2024 04:18:00.000,132.115,12.038,1706.161931,138.611,10.830,1779.099853,206.389,59.573,638.065398
23 Mar 2024 07:34:00.000,51.847,33.669,936.141774,289.825,12.815,1664.699657,51.281,18.967,1355.715819
08 Mar 2024 13:17:00.000,281.598,21.495,1262.573843,77.720,7.802,1999.977601,298.751,28.980,1033.825328
12 Mar 2024 14:50:00.000,141.404,37.891,859.512656,241.614,36.207,883.679489,303.199,7.823,1999.991176
11 Mar 2024 11:33:00.000,66.781,15.444,1524.592566,130.035,7.893,1984.113056,308.472,13.454,1624.951008
24 Mar 2024 04:06:00.000,200.172,19.669,1325.005634,115.394,9.280,1887.587254,104.865,7.742,1999.976400
25 Mar 2024 09:10:00.000,123.377,24.923,1145.959014,54.841,12.970,1656.138710,51.250,41.810,799.724559
17 Mar 2024 09:34:00.000,61.644,23.014,1210.516402,56.477,7.862,1999.979558,63.234,9.203,1896.759281
